-124923.706054688,	18.1371,	21.0508,	-6.40542,	45.9104,	-34.5327,	-17.3285,
-124847.412109375,	-9.8093,	-14.5815,	-14.8124,	-44.8533,	38.7715,	22.0315,
-124771.118164062,	-13.2086,	11.1829,	37.5059,	15.487,	-27.3629,	-32.8409,
-124694.82421875,	18.6874,	-14.5092,	-28.9086,	6.86494,	13.1541,	33.5527,
-124618.530273438,	-21.2151,	26.5821,	-1.98853,	0.0497017,	8.85467,	-22.374,
-124542.236328125,	29.9121,	-33.8917,	3.55138,	-24.4233,	-21.1808,	14.0948,
-124465.942382812,	-31.0128,	19.6877,	-4.2592,	20.1179,	7.59341,	8.78644,
-124389.6484375,	27.6278,	0.490222,	33.6615,	-5.09795,	11.5599,	-16.5797,
-124313.354492188,	-14.0929,	-17.8002,	-41.4098,	15.6035,	-28.2591,	7.4321,
-124237.060546875,	-3.85683,	24.4643,	14.1532,	-18.5887,	33.6556,	-18.7829,
-124160.766601562,	13.912,	-6.38484,	0.809219,	4.34488,	-19.0811,	28.9009,
-124084.47265625,	-9.12023,	-8.78133,	9.25892,	3.52575,	-6.54007,	-20.9935,
-124008.178710938,	3.64614,	-12.2569,	-26.2116,	3.58732,	16.883,	-1.54235,
-123931.884765625,	-11.5479,	36.773,	36.755,	-3.53539,	-4.91279,	22.6818,
-123855.590820312,	6.68668,	-36.75,	-15.9252,	-14.051,	1.47364,	-20.9584,
-123779.296875,	7.15367,	36.9036,	-12.8179,	23.5871,	-5.72738,	14.2801,
-123703.002929688,	6.07449,	-36.9845,	11.2904,	-18.4949,	-2.12176,	-19.425,
-123626.708984375,	-30.4413,	12.5921,	6.88408,	7.36838,	9.00986,	19.4769,
-123550.415039062,	28.639,	21.9438,	-20.3601,	-2.18855,	-12.0016,	-17.4811,
-123474.12109375,	-14.3801,	-25.4331,	12.0305,	19.8559,	18.423,	31.4188,
-123397.827148438,	13.6379,	5.37963,	4.21583,	-35.4184,	-15.3487,	-36.878,
-123321.533203125,	-25.2102,	-8.65093,	2.63578,	16.4982,	0.53656,	16.0668,
-123245.239257812,	33.2146,	29.3944,	-29.2625,	6.9428,	16.0152,	7.35901,
-123168.9453125,	-21.072,	-36.3453,	41.4882,	-8.65315,	-13.8195,	-17.1334,
-123092.651367188,	-2.3883,	25.4736,	-23.1555,	10.3166,	-14.7622,	10.6761,
-123016.357421875,	19.2687,	-4.64507,	4.27824,	-24.5906,	32.9547,	-1.75555,
-122940.063476562,	-19.7945,	-6.42281,	-1.09161,	18.9645,	-28.5685,	0.371302,
-122863.76953125,	0.999741,	-3.44158,	-14.401,	-2.956,	19.6719,	4.77009,
-122787.475585938,	13.1957,	15.8647,	42.7373,	15.199,	-4.87968,	-5.12687,
-122711.181640625,	-10.1021,	-14.9026,	-37.1124,	-36.1553,	3.62467,	-2.73688,
-122634.887695312,	15.114,	20.205,	-10.854,	42.0965,	-10.8493,	2.56618,
-122558.59375,	-21.0616,	-40.1821,	48.7892,	-35.976,	-8.72211,	8.23362,
-122482.299804688,	19.5564,	41.4728,	-41.9459,	28.8164,	14.7769,	-12.312,
-122406.005859375,	-25.9583,	-12.4301,	15.6258,	-11.3822,	10.4756,	-1.95707,
-122329.711914062,	16.5046,	-12.9091,	-5.45854,	-11.6207,	-18.4377,	17.8837,
-122253.41796875,	2.51735,	12.6921,	3.27573,	14.0201,	12.7864,	-17.1175,
-122177.124023438,	-2.28139,	-8.63021,	2.94106,	0.20538,	-6.01725,	8.07856,
-122100.830078125,	10.4182,	8.35841,	-9.91149,	-11.8091,	-6.27447,	-0.391502,
-122024.536132812,	-21.7918,	2.8613,	17.8627,	12.3301,	9.81539,	-15.0867,
-121948.2421875,	6.41701,	-12.5915,	-18.6916,	-10.6662,	-11.4507,	27.6068,
-121871.948242188,	18.0961,	16.6883,	14.5301,	13.0885,	9.4178,	-23.1563,
-121795.654296875,	-36.3538,	-2.72588,	-8.51829,	-2.45558,	3.51843,	2.71563,
-121719.360351562,	25.9786,	-30.2514,	-12.6779,	-22.2229,	-8.30379,	21.6815,
-121643.06640625,	19.6931,	31.0678,	30.6602,	36.686,	0.475227,	-18.4366,
-121566.772460938,	-61.2615,	-17.2135,	-16.7724,	-44.9178,	14.911,	-4.42945,
-121490.478515625,	56.3139,	19.9586,	0.596845,	48.9586,	-27.1803,	16.5813,
-121414.184570312,	-26.1358,	0.286306,	-11.7205,	-27.1182,	35.1003,	-8.84552,
-121337.890625,	30.0583,	-34.4515,	20.685,	-6.26032,	-37.6057,	-14.2211,
-121261.596679688,	-49.5457,	34.8271,	-6.79688,	28.8851,	13.6242,	27.0645,
-121185.302734375,	45.2048,	-8.08456,	-2.8233,	-43.0242,	9.89029,	-29.6088,
-121109.008789062,	-24.399,	-2.09827,	-9.21436,	35.8505,	-2.3229,	35.082,
-121032.71484375,	1.48538,	-13.8151,	12.996,	-13.2442,	-6.56615,	-34.0172,
-120956.420898438,	17.6124,	15.2401,	6.82366,	4.90764,	7.92099,	21.4378,
-120880.126953125,	-26.4374,	-0.505323,	-13.5816,	-4.51322,	-15.8029,	-6.92239,
-120803.833007812,	24.8224,	5.81129,	3.40145,	-5.45238,	20.7556,	13.4696,
-120727.5390625,	-24.8905,	-20.4207,	-10.5241,	15.3352,	-22.17,	-32.4451,
-120651.245117188,	33.6065,	12.9241,	26.341,	-19.8132,	28.2628,	29.6954,
-120574.951171875,	-34.0613,	4.8092,	-26.9202,	18.3051,	-22.0095,	-22.9006,
-120498.657226562,	6.06899,	2.32513,	6.14191,	-4.46351,	-1.7933,	23.9847,
-120422.36328125,	18.5162,	-22.8505,	8.00177,	-5.34973,	13.9905,	-14.7652,
-120346.069335938,	-9.66016,	25.6104,	6.66699,	9.0498,	-0.302734,	7.38672,
-120269.775390625,	-5.62695,	-13.1016,	-23.2129,	-20.0117,	-13.2891,	-10.0957,
-120193.481445312,	-4.01367,	-3.11621,	41.1973,	33.8652,	11.4219,	8.77344,
-120117.1875,	17.5532,	10.573,	-50.2832,	-42.2627,	-5.46777,	1.76587,
-120040.893554688,	-11.1385,	-5.22833,	34.4231,	30.7153,	-1.63617,	-10.0136,
-119964.599609375,	8.70908,	-1.62951,	-9.61173,	-3.30765,	-0.116371,	5.98616,
-119888.305664062,	-7.75413,	7.58803,	-13.8308,	-7.69527,	-0.900616,	7.09964,
-119812.01171875,	-2.25365,	-1.40585,	18.7804,	-12.3271,	4.27407,	-8.13114,
-119735.717773438,	1.50721,	-24.4465,	-9.10791,	36.6175,	8.32758,	-4.9541,
-119659.423828125,	1.90178,	29.3057,	-4.68291,	-33.4092,	-15.3987,	8.97972,
-119583.129882812,	9.01372,	0.354897,	19.7161,	12.7047,	18.2993,	-0.333665,
-119506.8359375,	-11.6018,	-12.8741,	-16.7856,	0.686544,	-23.6813,	-4.58681,
-119430.541992188,	-10.8061,	3.13616,	-3.96859,	0.251433,	16.3172,	-9.18784,
-119354.248046875,	21.7176,	-5.26459,	17.8863,	-12.1094,	10.1136,	30.2096,
-119277.954101562,	-13.292,	7.20897,	-16.6126,	14.1096,	-41.9218,	-39.3214,
-119201.66015625,	8.74306,	11.3244,	9.60989,	0.805794,	46.3519,	46.862,
-119125.366210938,	-3.95543,	-34.627,	-12.9799,	-15.7088,	-26.6903,	-50.0734,
-119049.072265625,	2.64318,	33.6701,	27.9001,	21.09,	7.57823,	31.1253,
-118972.778320312,	-6.61309,	-11.6153,	-27.0367,	-17.3009,	-4.21527,	-1.86139,
-118896.484375,	9.73434,	-9.97402,	6.20722,	5.64486,	27.6616,	-15.1939,
-118820.190429688,	-10.2969,	22.6251,	13.4704,	12.6513,	-35.9807,	21.1749,
-118743.896484375,	7.64748,	-24.2697,	-19.7675,	-26.1439,	13.3892,	-26.5894,
-118667.602539062,	-1.90313,	19.6312,	-1.73916,	28.5821,	-1.78146,	26.8352,
-118591.30859375,	-7.06936,	-7.84229,	38.3109,	-20.2154,	7.3523,	-13.2677,
-118515.014648438,	20.257,	0.558535,	-39.0071,	13.7411,	-16.1837,	-5.96399,
-118438.720703125,	-28.1356,	-6.86363,	4.04655,	-20.1279,	25.3016,	4.57328,
-118362.426757812,	22.6147,	8.79277,	15.0649,	20.8312,	-33.2334,	13.3706,
-118286.1328125,	-17.0382,	-9.39354,	0.15704,	-15.0937,	20.1752,	-10.7383,
-118209.838867188,	14.7457,	14.0279,	-22.3344,	8.53749,	-3.49134,	-15.8042,
-118133.544921875,	-4.68782,	-9.74564,	20.8819,	1.40175,	11.1524,	32.0154,
-118057.250976562,	-0.731665,	7.77793,	0.644958,	-3.73089,	-8.77244,	-14.1435,
-117980.95703125,	-11.384,	-21.3714,	-23.9776,	16.3054,	-13.091,	-9.18494,
-117904.663085938,	29.7837,	21.7539,	35.4264,	-36.8445,	18.432,	15.9027,
-117828.369140625,	-46.9123,	-4.64679,	-32.8318,	32.4328,	5.71988,	-22.7569,
-117752.075195312,	51.2971,	-9.3455,	21.9332,	-18.1872,	-21.1385,	15.5519,
-117675.78125,	-35.4972,	15.3256,	-16.5907,	4.08159,	2.16617,	9.0492,
-117599.487304688,	19.0535,	-8.97397,	13.8528,	8.97063,	1.46018,	-28.7289,
-117523.193359375,	-29.9757,	18.6026,	-13.7531,	-8.61181,	21.1055,	26.6179,
-117446.899414062,	55.4564,	-32.9733,	36.5419,	10.442,	-27.9851,	-5.83134,
-117370.60546875,	-53.9758,	7.84023,	-50.2225,	-10.8571,	17.8201,	-9.76849,
-117294.311523438,	31.1444,	26.3826,	24.2739,	-16.9989,	3.35898,	15.3805,
-117218.017578125,	-21.0656,	-26.393,	8.6882,	53.2586,	-22.0753,	-17.2546,
-117141.723632812,	26.931,	4.81785,	-18.0057,	-49.2272,	10.8289,	5.0152,
-117065.4296875,	-31.1873,	7.1939,	6.79669,	8.80986,	9.47485,	21.7512,
-116989.135742188,	19.4948,	-4.19662,	10.7603,	20.0745,	-2.05444,	-28.8463,
-116912.841796875,	5.81879,	-1.75733,	-8.03523,	-22.1868,	-8.70508,	16.9866,
-116836.547851562,	-19.7755,	6.05264,	-18.1245,	11.8261,	10.0305,	-4.53775,
-116760.25390625,	10.3861,	-3.75242,	30.2435,	-4.78027,	-10.2928,	-13.2015,
-116683.959960938,	-8.09728,	-3.54167,	-13.3144,	-1.68218,	-0.205108,	25.7739,
-116607.666015625,	33.3741,	3.79721,	-9.54885,	18.3638,	-1.68798,	-23.4785,
-116531.372070312,	-52.4834,	4.30511,	19.4398,	-19.1743,	9.36819,	19.7855,
-116455.078125,	28.4908,	-7.33697,	-25.0475,	-4.63227,	5.17523,	-26.7268,
-116378.784179688,	5.85916,	-4.08603,	21.0227,	29.8832,	-20.7187,	26.9835,
-116302.490234375,	-8.15243,	10.6626,	5.20284,	-31.9488,	33.0902,	-23.3408,
-116226.196289062,	3.12289,	6.15815,	-23.9437,	0.344784,	-46.8726,	22.6057,
-116149.90234375,	-13.7542,	-32.9982,	9.96145,	24.2125,	30.7757,	-10.0365,
-116073.608398438,	21.4361,	36.4187,	16.2749,	-15.7213,	-3.98421,	-8.61117,
-115997.314453125,	-4.2148,	-5.60841,	-17.1063,	6.67028,	7.43325,	23.8713,
-115921.020507812,	-20.3439,	-15.733,	4.06162,	-16.2728,	-5.93728,	-27.957,
-115844.7265625,	22.0737,	4.5089,	-8.18909,	23.9921,	-7.22449,	15.4657,
-115768.432617188,	-10.1135,	4.50619,	20.6371,	-19.2616,	-4.06133,	7.12135,
-115692.138671875,	5.81486,	7.31273,	-29.6905,	14.6627,	28.8929,	-27.7912,
-115615.844726562,	-14.9382,	-16.3231,	9.0957,	-11.8517,	-28.1443,	37.0513,
-115539.55078125,	18.0349,	8.23046,	25.4484,	6.75777,	5.95547,	-26.7068,
-115463.256835938,	-11.1259,	2.60626,	-20.0098,	-18.1627,	-5.12036,	-1.64186,
-115386.962890625,	22.8666,	-10.8196,	-1.05094,	35.2823,	12.0664,	34.2191,
-115310.668945312,	-40.0312,	13.3325,	3.94825,	-18.0605,	-11.4,	-41.6155,
-115234.375,	17.1172,	-4.78687,	-8.73525,	-19.3179,	22.9389,	28.358,
-115158.081054688,	29.4474,	2.98505,	7.98075,	33.1315,	-37.4302,	-31.3496,
-115081.787109375,	-35.8031,	-12.138,	0.740168,	-17.4527,	27.8958,	34.7807,
-115005.493164062,	7.80838,	21.9101,	7.68027,	10.5395,	5.82064,	-18.3146,
-114929.19921875,	13.1382,	-34.0189,	-14.1236,	-22.145,	-25.929,	-3.30759,
-114852.905273438,	-20.6112,	33.8491,	-0.668858,	15.0875,	19.968,	6.70283,
-114776.611328125,	13.4888,	-10.7555,	18.0537,	16.4542,	-16.8577,	9.82621,
-114700.317382812,	-3.44592,	-8.40405,	-12.0008,	-36.5301,	13.1029,	-23.5294,
-114624.0234375,	3.44688,	8.53689,	-6.15055,	25.3322,	4.73622,	27.7667,
-114547.729492188,	-5.77394,	2.94126,	-5.42346,	1.38227,	-22.3519,	-3.88098,
-114471.435546875,	9.88271,	-16.8911,	28.6446,	-18.7467,	28.8474,	-35.3378,
